date,value
2000-11-25,1759
2000-11-26,1760
2000-12-01,1764
2000-12-04,1765
2000-12-10,1766
2000-12-21,1767
2001-01-01,1894
2001-02-01,1899
2001-03-01,1905
2001-03-18,1910
2001-03-31,1911
2001-04-01,1912
2001-04-18,1913
2001-04-27,1914
2001-05-01,1917
2001-05-07,1935
2001-05-08,1936
2001-05-09,1937
2001-05-10,1938
2001-05-28,1939
2001-06-01,1947
2001-06-02,1951
2001-06-08,1952
2001-06-21,1953
2001-07-01,1956
2001-07-06,1964
2001-07-07,1967
2001-07-10,1968
2001-07-13,1969
2001-07-15,1970
2001-07-27,1972
2001-08-01,1974
2001-08-04,1975
2001-08-09,1977
2001-08-26,1978
2001-08-29,1980
2001-09-01,1990
2001-09-03,1993
2001-09-10,1997
2001-09-11,2000
2001-09-18,2001
2001-09-20,2002
2001-10-01,2011
2001-10-03,2012
2001-10-05,2014
2001-10-07,2016
2001-10-12,2017
2001-10-24,2018
2001-10-26,2019
2001-11-01,2022
2001-11-02,2023
2001-11-15,2024
2001-12-01,2029
2001-12-05,2030
2001-12-09,2043
2001-12-18,2045
2001-12-31,2046
2002-01-01,2162
2002-01-07,2163
2002-01-13,2164
2002-02-01,2167
2002-02-14,2168
2002-03-01,2172
2002-03-11,2173
2002-03-18,2174
2002-03-20,2175
2002-03-24,2180
2002-04-01,2183
2002-04-09,2184
2002-04-20,2185
2002-04-22,2186
2002-05-01,2196
2002-05-13,2218
2002-06-01,2221
2002-06-04,2222
2002-06-17,2223
2002-06-23,2224
2002-06-24,2225
2002-07-01,2228
2002-07-03,2229
2002-07-06,2237
2002-07-11,2238
2002-07-15,2239
2002-07-28,2240
2002-08-06,2242
2002-08-07,2245
2002-08-11,2250
2002-08-24,2255
2002-08-26,2258
2002-08-28,2259
2002-08-30,2260
2002-08-31,2263
2002-09-01,2270
2002-09-09,2275
2002-09-19,2276
2002-10-01,2277
2002-10-06,2278
2002-10-08,2279
2002-10-14,2281
2002-11-01,2285
2002-11-04,2288
2002-11-06,2289
2002-11-07,2290
2002-11-18,2291
2002-11-30,2292
2002-12-01,2294
2002-12-10,2295
2002-12-11,2296
2002-12-13,2297
2002-12-16,2298
2002-12-18,2299
2002-12-19,2300
2003-01-01,2444
2003-01-03,2445
2003-01-13,2446
2003-02-01,2447
2003-02-07,2448
2003-02-16,2452
2003-02-19,2453
2003-03-01,2459
2003-03-05,2460
2003-04-01,2463
2003-04-06,2481
2003-04-10,2482
2003-04-12,2484
2003-04-14,2487
2003-04-15,2488
2003-05-01,2489
2003-05-21,2490
2003-05-23,2491
2003-05-25,2492
2003-05-27,2503
2003-05-31,2507
2003-06-01,2512
2003-06-03,2513
2003-06-04,2515
2003-06-11,2516
2003-06-16,2517
2003-06-18,2518
2003-06-22,2519
2003-06-23,2520
2003-06-26,2521
2003-06-30,2522
2003-07-01,2525
2003-07-06,2528
2003-07-07,2532
2003-07-11,2538
2003-07-12,2539
2003-07-15,2540
2003-07-21,2542
2003-07-28,2543
2003-08-01,2546
2003-08-03,2551
2003-08-05,2552
2003-08-21,2555
2003-08-30,2556
2003-09-01,2566
2003-09-04,2567
2003-09-08,2570
2003-09-14,2572
2003-09-16,2573
2003-09-19,2574
2003-09-22,2577
2003-09-29,2578
2003-10-01,2582
2003-10-08,2583
2003-10-13,2584
2003-10-26,2592
2003-10-27,2594
2003-11-01,2597
2003-11-03,2600
2003-11-10,2601
2003-11-15,2603
2003-11-17,2605
2003-11-26,2609
2003-11-30,2631
2003-12-01,2632
2003-12-03,2637
2003-12-09,2638
2003-12-11,2640
2003-12-15,2641
2003-12-17,2642
2003-12-18,2643
2003-12-27,2644
2004-01-01,2785
2004-01-16,2786
2004-02-01,2789
2004-02-14,2790
2004-02-15,2791
2004-02-16,2792
2004-03-04,2793
2004-03-22,2799
2004-04-01,2806
2004-04-03,2807
2004-04-05,2810
2004-04-15,2811
2004-04-23,2812
2004-04-26,2813
2004-04-28,2814
2004-05-01,2822
2004-05-02,2828
2004-05-05,2829
2004-05-06,2830
2004-05-12,2831
2004-05-14,2833
2004-05-17,2855
2004-05-26,2856
2004-06-01,2862
2004-06-11,2864
2004-06-21,2867
2004-06-27,2868
2004-06-28,2870
2004-07-01,2875
2004-07-02,2876
2004-07-10,2878
2004-07-14,2879
2004-07-15,2880
2004-07-18,2881
2004-07-21,2889
2004-07-25,2895
2004-08-01,2900
2004-08-09,2902
2004-08-18,2903
2004-08-22,2905
2004-08-23,2916
2004-09-01,2925
2004-09-08,2930
2004-09-15,2933
2004-09-20,2935
2004-09-28,2937
2004-10-01,2943
2004-10-04,2971
2004-10-10,2973
2004-10-11,2974
2004-10-18,2976
2004-10-20,2980
2004-10-26,2984
2004-10-27,2985
2004-10-29,2986
2004-11-01,2987
2004-11-22,2988
2004-11-29,2989
2004-12-01,3001
2004-12-04,3002
2004-12-13,3004
2004-12-14,3007
2004-12-15,3017
2004-12-16,3019
2004-12-18,3020
2004-12-23,3021
2005-01-01,3174
2005-02-01,3176
2005-02-13,3178
2005-02-22,3179
2005-02-25,3180
2005-02-28,3181
2005-03-01,3192
2005-03-13,3193
2005-03-18,3217
2005-03-29,3218
2005-04-01,3224
2005-04-04,3225
2005-04-18,3226
2005-04-21,3227
2005-05-01,3234
2005-05-06,3235
2005-05-09,3236
2005-05-14,3237
2005-05-16,3238
2005-05-18,3240
2005-05-24,3241
2005-05-28,3242
2005-05-30,3243
2005-06-01,3251
2005-06-07,3254
2005-06-15,3257
2005-06-16,3258
2005-06-17,3259
2005-06-20,3261
2005-06-22,3263
2005-06-23,3264
2005-06-25,3274
2005-06-27,3276
2005-06-29,3282
2005-06-30,3283
2005-07-01,3290
2005-07-04,3292
2005-07-06,3293
2005-07-09,3294
2005-07-14,3295
2005-07-19,3296
2005-07-22,3297
2005-07-27,3298
2005-07-29,3299
2005-07-30,3300
2005-08-01,3305
2005-08-07,3306
2005-08-15,3311
2005-08-20,3312
2005-08-22,3313
2005-08-25,3314
2005-08-27,3315
2005-08-30,3317
2005-08-31,3319
2005-09-01,3333
2005-09-04,3364
2005-09-07,3365
